dataset                          lumi    xs             lumi*xs          events     weight
TTbar0-700                       41.860  731209.000     30608408.740     134082521  0.228280
TTbar700-1000_total              41.860  80104.600      3353178.556      54645901   0.061362
TTbar1000-inf_total              41.860  20446.800      855903.048       24746283   0.034587
TTsemilep                        41.860  453570.000     18986440.200     41221873   0.460591
wjets                            41.860  61526700.000   2575507662.000   77700506   33.146601
ww                               41.860  118700.000     4968782.000      7791498    0.637718
wz                               41.860  47100.000      1971606.000      3928630    0.501856
zz                               41.860  16500.000      690690.000       1949768    0.354242
DYJetsToLL_M10to50               41.860  18610000.000   779014600.000    39521230   19.711294
DYJetsToLL_M50                   41.860  6225420.000    260596081.200    96897977   2.689386
ST_t-channel_top_4f              41.860  136020.000     5693797.200      5865875    0.970665
ST_t-channel_antitop_4f          41.860  80950.000      3388567.000      3939990    0.860045
ST_tW_top_5f_inclusiveDecays_v2  41.860  35850.000      1500681.000      7794186    0.192539
ST_tW_antitop_5f_v2              41.860  35850.000      1500681.000      7363960    0.203787
qcd30to80_bcToE                  41.860  405623400.000  16979395524.000  16030011   1059.225444
qcd80to170_bcToE                 41.860  38104430.000   1595051439.800   15972037   99.865248
qcd170to250_bcToE                41.860  2635813.320    110335145.575    9831904    11.222154
qcd250toInf_bcToE                41.860  711925.875     29801217.128     9921358    3.003744
QCD_Pt-50to80_MuEnrichedPt5      41.860  437504100.000  18313921626.000  24068613   760.904736
QCD_Pt-80to120_MuEnrichedPt5     41.860  106033664.800  4438569208.528   23248995   190.914455
QCD_Pt-120to170_MuEnrichedPt5    41.860  25190515.140   1054474963.760   20774848   50.757289
QCD_Pt-300to470_MuEnrichedPt5    41.860  797352.690     33377183.603     17744779   1.880958
QCD_Pt-470to600_MuEnrichedPt5    41.860  79025.538      3308009.011      24243589   0.136449
QCD_Pt-600to800_MuEnrichedPt5    41.860  25095.059      1050479.173      16392140   0.064084
QCD_Pt-800to1000_MuEnrichedPt5   41.860  4707.368       197050.436       15694987   0.012555
QCD_Pt-1000toInf_MuEnrichedPt5   41.860  1621.317       67868.326        11596693   0.005852
TTbar0-700_topPtWeightUP         41.860  726395.000     30406894.700     134082521  0.226777
TTbar700-1000_topPtWeightUP      41.860  83359.700      3489437.042      54645901   0.063855
TTbar1000-inf_topPtWeightUP      41.860  22005.000      921129.300       24746283   0.037223
TTbar0-700_pdfUP                 41.860  731083.000     30603134.380     134082521  0.228241
TTbar700-1000_pdfUP              41.860  80176.600      3356192.476      54645901   0.061417
TTbar1000-inf_pdfUP              41.860  20500.700      858159.302       24746283   0.034678
TTbar0-700_pdfDN                 41.860  731350.000     30614311.000     134082521  0.228324
TTbar700-1000_pdfDN              41.860  80022.600      3349746.036      54645901   0.061299
TTbar1000-inf_pdfDN              41.860  20386.900      853395.634       24746283   0.034486
TTbar0-700_q2UP                  41.860  727477.000     30452187.220     134082521  0.227115
TTbar700-1000_q2UP               41.860  82453.800      3451516.068      54645901   0.063161
TTbar1000-inf_q2UP               41.860  21829.300      913774.498       24746283   0.036926
TTbar0-700_q2DN                  41.860  734688.000     30754039.680     134082521  0.229367
TTbar700-1000_q2DN               41.860  77947.300      3262873.978      54645901   0.059709
TTbar1000-inf_q2DN               41.860  19124.200      800539.012       24746283   0.032350
